Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Drop_timestamp,Date,Hour,Weekday,Time_Slot,Driver_Assigned,Trip_Duration_Minutes
619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,2016-07-11,11,Monday,Morning,Yes,69.0
867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,2016-07-11,17,Monday,Evening,Yes,50.0
1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,2016-07-12,9,Tuesday,Morning,Yes,41.0
2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,2016-07-12,21,Tuesday,Evening,Yes,55.0
3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,2016-07-13,8,Wednesday,Morning,Yes,52.516666666666666
3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,2016-07-13,21,Wednesday,Evening,Yes,31.516666666666666
4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,2016-07-14,6,Thursday,Morning,Yes,57.71666666666667
5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,2016-07-15,5,Friday,Morning,Yes,56.0
6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,2016-07-15,17,Friday,Evening,Yes,53.4
267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,2016-07-11,6,Monday,Morning,Yes,39.0
1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,2016-07-12,5,Tuesday,Morning,Yes,54.0
1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,2016-07-12,12,Tuesday,Afternoon,Yes,27.0
2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,2016-07-13,4,Wednesday,Night,Yes,33.71666666666667
